1100
0
1600
0 -160,-160
0 -128,-160
0 -96,-160
0 -64,-160
0 -32,-160
0 0,-160
0 32,-160
0 64,-160
0 96,-160
0 128,-160
0 -160,-128
4 -128,-128
6 -96,-128
5 -64,-128
6 -32,-128
1 0,-128
6 32,-128
2 64,-128
3 96,-128
0 128,-128
0 -160,-96
3 -128,-96
4 -96,-96
3 -64,-96
2 -32,-96
4 0,-96
1 32,-96
6 64,-96
2 96,-96
0 128,-96
0 -160,-64
6 -128,-64
1 -96,-64
2 -64,-64
4 -32,-64
2 0,-64
4 32,-64
3 64,-64
6 96,-64
0 128,-64
0 -160,-32
1 -128,-32
4 -96,-32
1 -64,-32
5 -32,-32
1 0,-32
5 32,-32
6 64,-32
5 96,-32
0 128,-32
0 -160,0
4 -128,0
3 -96,0
6 -64,0
3 -32,0
2 0,0
6 32,0
2 64,0
1 96,0
0 128,0
0 -160,32
6 -128,32
1 -96,32
4 -64,32
6 -32,32
3 0,32
2 32,32
3 64,32
4 96,32
0 128,32
0 -160,64
2 -128,64
3 -96,64
5 -64,64
1 -32,64
4 0,64
6 32,64
4 64,64
2 96,64
0 128,64
0 -160,96
5 -128,96
4 -96,96
1 -64,96
5 -32,96
1 0,96
4 32,96
6 64,96
3 96,96
0 128,96
0 -160,128
0 -128,128
0 -96,128
0 -64,128
0 -32,128
0 0,128
0 32,128
0 64,128
0 96,128
-1 128,128
64
0
11
10
10
13
7
13
3,2
0
0
0
3
2
0
0,0
0
4
0
Player
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Playefd 1800
Player 0
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
Player -1
